,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choices_numeric,choice_numeric_last,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,space_hit_points,goal_points,space_hit_points_total,total_score,metacontrol_accuracy
15561,15561,sub-043.csv,-0.9152542372881356,2,images/baby.png,2,1,1,1,0,2.770931099141411,1,0,1,0,space,48,1,1,0,1,2,0.0,0,Lost_Novel,2,1,0,-1,0.0,100,400,600,85800,1.0,1,4,2,6,1
15562,15562,sub-043.csv,-0.864406779661017,3,images/toothbrush.png,2,1,1,1,0,2.150121322867551,1,0,1,0,space,48,1,1,1,1,2,1.0,1,Lost_Novel,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15563,15563,sub-043.csv,-0.8305084745762712,4,images/toothbrush.png,2,1,1,1,0,2.1841168226179675,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15564,15564,sub-043.csv,-0.8135593220338984,5,images/baby.png,2,1,1,0,0,3.0687317744375124,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15565,15565,sub-043.csv,-0.7966101694915254,6,images/baby.png,2,1,1,0,0,1.9025999424536648,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15566,15566,sub-043.csv,-0.7796610169491526,7,images/baby.png,2,1,1,0,0,1.7657234546772134,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15567,15567,sub-043.csv,-0.7627118644067796,8,images/baby.png,2,1,1,0,0,1.1829840738874515,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15568,15568,sub-043.csv,-0.6779661016949152,9,images/toothbrush.png,2,1,1,1,0,1.16813835131672,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15569,15569,sub-043.csv,-0.6440677966101694,10,images/baby.png,2,1,1,1,0,1.007702413308267,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15570,15570,sub-043.csv,-0.5932203389830508,11,images/toothbrush.png,2,1,1,1,0,1.049176916396689,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15571,15571,sub-043.csv,-0.4576271186440678,12,images/baby.png,2,1,1,1,0,1.738868407862317,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15572,15572,sub-043.csv,-0.3389830508474576,13,images/baby.png,2,1,1,1,0,1.256954173113836,1,0,1,0,left,48,0,0,1,0,0,1.0,1,Lost_Novel,2,0,0,1,1.0,0,400,500,85800,1.0,0,4,1,5,0
15573,15573,sub-043.csv,-0.2372881355932203,14,images/baby.png,2,1,1,1,0,2.0655454364877244,1,0,1,0,space,48,1,1,0,1,2,0.0,0,Lost_Novel,2,1,0,-1,0.0,100,400,600,85800,1.0,1,4,2,6,1
15574,15574,sub-043.csv,-0.2203389830508474,15,images/toothbrush.png,2,1,1,0,0,1.4515435671611103,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15575,15575,sub-043.csv,-0.2033898305084746,16,images/toothbrush.png,2,1,1,0,0,1.7640799001213123,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15576,15576,sub-043.csv,-0.1525423728813559,17,images/toothbrush.png,2,1,1,1,0,2.014102700371496,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15577,15577,sub-043.csv,-0.1186440677966101,18,images/baby.png,2,1,1,1,0,1.0610142582527913,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15578,15578,sub-043.csv,-0.0338983050847457,19,images/baby.png,2,1,1,1,0,0.7085775182153029,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15579,15579,sub-043.csv,-0.0169491525423728,20,images/baby.png,2,1,1,0,0,0.6306864992173398,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15580,15580,sub-043.csv,-0.9491525423728814,1,images/car.png,3,1,1,1,1,1.3863443598699323,1,0,1,1,right,48,0,1,1,0,1,0.0,0,Lost_Novel,1,1,0,0,0.0,0,400,500,85800,1.0,0,4,1,5,1
15581,15581,sub-043.csv,-0.9152542372881356,2,images/bowtie.png,3,1,1,1,1,1.7297776768721738,1,0,1,1,right,48,1,1,0,0,1,0.0,0,Lost_Novel,1,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15582,15582,sub-043.csv,-0.864406779661017,3,images/car.png,3,1,1,1,1,1.0600446955188512,1,1,1,1,right,48,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15583,15583,sub-043.csv,-0.8305084745762712,4,images/car.png,3,1,1,1,1,0.6438518888350678,1,1,1,1,right,48,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15584,15584,sub-043.csv,-0.8135593220338984,5,images/bowtie.png,3,1,1,0,1,0.7965157135369785,1,1,1,1,right,48,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15585,15585,sub-043.csv,-0.7966101694915254,6,images/bowtie.png,3,1,1,0,1,1.3504599081106743,1,1,1,1,right,48,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
15586,15586,sub-043.csv,-0.7796610169491526,7,images/backpack.png,3,1,1,0,1,1.5880303979952153,1,0,1,1,left,48,1,1,1,0,0,0.0,0,Lost_Novel,0,1,0,0,1.0,0,400,600,85800,1.0,0,4,2,6,1
