study,model,sub,npar,loglik,lme,bic,n_obs
study1,PR,sub-073.csv,2,-19.039806774147344,-19.039806774147344,48.46552725007511,180
study1,PR,sub-008.csv,2,-122.26900151881287,-122.26900151881287,254.92391673940617,180
study1,PR,sub-048.csv,2,-0.7216812000255164,-0.7216812000255164,11.829276101831454,180
study1,PR,sub-023.csv,2,-12.310067881249179,-12.310067881249179,35.006049464278775,180
study1,PR,sub-026.csv,2,-103.85752988164064,-103.85752988164064,218.1009734650617,180
study1,PR,sub-084.csv,2,-116.0696205022189,-116.0696205022189,242.52515470621822,180
study1,PR,sub-082.csv,2,-84.0241434121204,-84.0241434121204,178.43420052602121,180
study1,PR,sub-086.csv,2,-59.22512995506194,-59.22512995506194,128.8361736119043,180
study1,PR,sub-035.csv,2,-5.2816005126006615,-5.2816005126006615,20.949114726981744,180
study1,PR,sub-066.csv,2,-11.046513035797982,-11.046513035797982,32.47893977337638,180
study1,PR,sub-058.csv,2,-57.741010690063035,-57.741010690063035,125.8679350819065,180
study1,PR,sub-010.csv,2,-0.7216967804659493,-0.7216967804659493,11.82930726271232,180
study1,PR,sub-015.csv,2,-70.38700802717484,-70.38700802717484,151.1599297561301,180
study1,PR,sub-078.csv,2,-121.7142892966644,-121.7142892966644,253.81449229510923,180
study1,PR,sub-042.csv,2,-0.7237334993387519,-0.7237334993387519,11.833380700457925,180
study1,PR,sub-069.csv,2,-105.67443719997257,-105.67443719997257,221.73478810172557,180
study1,PR,sub-090.csv,2,-17.423211365962857,-17.423211365962857,45.23233643370614,180
study1,PR,sub-054.csv,2,-45.04911678440265,-45.04911678440265,100.48414727058572,180
study1,PR,sub-076.csv,2,-44.03715479514724,-44.03715479514724,98.4602232920749,180
study1,PR,sub-045.csv,2,-114.1080215288201,-114.1080215288201,238.60195675942063,180
study1,PR,sub-039.csv,2,-115.38401349067689,-115.38401349067689,241.1539406831342,180
study1,PR,sub-079.csv,2,-31.454682643844627,-31.454682643844627,73.29527898946968,180
study1,PR,sub-089.csv,2,-60.169781190550694,-60.169781190550694,130.7254760828818,180
study1,PR,sub-074.csv,2,-27.744433420668763,-27.744433420668763,65.87478054311795,180
study1,PR,sub-014.csv,2,-114.30007712153484,-114.30007712153484,238.9860679448501,180
study1,PR,sub-062.csv,2,-58.05125749715636,-58.05125749715636,126.48842869609314,180
study1,PR,sub-025.csv,2,-82.2343826589295,-82.2343826589295,174.85467901963943,180
study1,PR,sub-040.csv,2,-51.330315456584664,-51.330315456584664,113.04654461494975,180
study1,PR,sub-077.csv,2,-88.91751171887775,-88.91751171887775,188.22093713953592,180
study1,PR,sub-011.csv,2,-50.6064143349017,-50.6064143349017,111.59874237158382,180
study1,PR,sub-030.csv,2,-0.7174938489462512,-0.7174938489462512,11.820901399672923,180
study1,PR,sub-068.csv,2,-83.3477202644145,-83.3477202644145,177.08135423060943,180
